NUMERO_CARTE,NOM_FICHIER,DATEPUBF,DATSUPF,ECHELLE,EDIT,FORMAT,ZONE,PAYS,REGION,AUTEUR,AURSECD,lien,LONGWEST,LONGEST,LATSUD,LATNORD
5026,CM_5026_Pub_1898_Ed_1924_Corr_1926,1898,0,1/10 000,Service Hydrographique de la Marine.,DA (59 x 45 cm),MEDITERRANEE,FRANCE (Côte Sud),PORT-DE-BOUC (Port),"FAVE (L),DRIENCOURT (L),LEINEKUGEL (G),MONNIER","DELAUNE,DUMAS-VORZET (Er)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5026_Pub_1898_Ed_1924_Corr_1926/file/ARCHIVES_CM_5026_Pub_1898_Ed_1924_Corr_1926.7z,4.9366667,5.0111111,43.3694443999999,43.4099999999999
5026,CM_5026_Pub_1898_Ed_1932_Remp_1947_Corr_1954,1898,0,1/10 000,"Service Hydrographique de la Marine, Paris.",DA (59 x 45 cm),MEDITERRANEE,FRANCE (Côte Sud),PORT-DE-BOUC (Port),"FAVE (L),DRIENCOURT (L),LEINEKUGEL (G),MONNIER","DELAUNE,DUMAS-VORZET (Er)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5026_Pub_1898_Ed_1932_Remp_1947_Corr_1954/file/ARCHIVES_CM_5026_Pub_1898_Ed_1932_Remp_1947_Corr_1954.7z,4.9366667,5.0111111,43.3694443999999,43.4099999999999
5027,CM_5027_Pub_1898,1898,1977,1/15 000,Service Hydrographique de la Marine.,DA (63 x 44 cm),"ATLANTIQUE,NORD (Mer)",ANGLETERRE (Côte Est),HARWICH (Port),,LINDEN,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5027_Pub_1898/file/ARCHIVES_CM_5027_Pub_1898.7z,1.2508333,1.3902778,51.9041666999999,51.9638889
5027,CM_5027_Pub_1898_Ed_1921_Remp_1940_Corr_1940,1898,1977,1/15 000,"Service Hydrographique de la Marine, Paris.",DA (63 x 44 cm),"ATLANTIQUE,NORD (Mer)",ANGLETERRE (Côte Est),HARWICH (Port),,LINDEN,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5027_Pub_1898_Ed_1921_Remp_1940_Corr_1940/file/ARCHIVES_CM_5027_Pub_1898_Ed_1921_Remp_1940_Corr_1940.7z,1.2508333,1.3902778,51.9041666999999,51.9638889
5027,CM_5027_Pub_1898_Ed_1957_GC_1976_Corr_1977,1898,1977,1/15 000,"Service Hydrographique et Océanographique de la Marine, Paris.",DA (63 x 44 cm),"ATLANTIQUE,NORD (Mer)",ANGLETERRE (Côte Est),HARWICH (Port),,LINDEN,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5027_Pub_1898_Ed_1957_GC_1976_Corr_1977/file/ARCHIVES_CM_5027_Pub_1898_Ed_1957_GC_1976_Corr_1977.7z,1.2508333,1.3902778,51.9041666999999,51.9638889
5028,CM_5028_Pub_1898,1898,1979,1/30 600,Service Hydrographique de la Marine.,GA (95 x 66 cm),"ATLANTIQUE,NORD (Mer)",HOLLANDE,"TEXEL (Passes), LE HELDER (Rade)",,"LORSIGNOL,CACKEBECK (A)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5028_Pub_1898/file/ARCHIVES_CM_5028_Pub_1898.7z,4.5538889,4.8594444,52.8333333,53.0916666999999
5028,CM_5028_Pub_1898_Ed_1940,1898,1979,1/50 000,"Service Hydrographique de la Marine, Paris.",GA (95 x 66 cm),"ATLANTIQUE,NORD (Mer)",HOLLANDE,"TEXEL (Passes), LE HELDER (Rade)",,"LORSIGNOL,CACKEBECK (A)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5028_Pub_1898_Ed_1940/file/ARCHIVES_CM_5028_Pub_1898_Ed_1940.7z,4.5538889,4.8594444,52.8333333,53.0916666999999
5028,CM_5028_Pub_1898_Ed_1963_Corr_1977,1898,1979,1/50 000,"Service Hydrographique de la Marine, Paris.",GA (95 x 66 cm),"ATLANTIQUE,NORD (Mer)",HOLLANDE,"TEXEL (Passes), LE HELDER (Rade)",,,http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5028_Pub_1898_Ed_1963_Corr_1977/file/ARCHIVES_CM_5028_Pub_1898_Ed_1963_Corr_1977.7z,4.5538889,4.8594444,52.8333333,53.0916666999999
5029,CM_5029_Pub_1898,1898,1980,1/32 070,"Service Hydrographique de la Marine, Paris.",GA (64 x 44 cm),"ATLANTIQUE,AMERIQUE DU NORD (Côte Est)",ETATS-UNIS (Côte Est),"FISHERS ISLANDS (Sound), PECHEOAS (île - Détroit)",,"NAUDE (Mme),BISCAY (E.Aîné)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5029_Pub_1898/file/ARCHIVES_CM_5029_Pub_1898.7z,-72.0669443999999,-71.8211110999999,41.2388888999999,41.3666667
5029,CM_5029_Pub_1898_Ed_1934_Corr_1938,1898,1980,1/32 070,"Service Hydrographique de la Marine, Paris.",GA (64 x 44 cm),"ATLANTIQUE,AMERIQUE DU NORD (Côte Est)",ETATS-UNIS (Côte Est),"FISHERS ISLANDS (Sound), PECHEOAS (île - Détroit)",,"NAUDE (Mme),BISCAY (E.Aîné)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5029_Pub_1898_Ed_1934_Corr_1938/file/ARCHIVES_CM_5029_Pub_1898_Ed_1934_Corr_1938.7z,-72.0669443999999,-71.8211110999999,41.2388888999999,41.3666667
5029,CM_5029_Pub_1898_Ed_1944_Corr_1972,1898,1980,1/32 070,"Service Hydrographique de la Marine, Paris.",GA (64 x 44 cm),"ATLANTIQUE,AMERIQUE DU NORD (Côte Est)",ETATS-UNIS (Côte Est),"FISHERS ISLANDS (Sound), PECHEOAS (île - Détroit)",,"NAUDE (Mme),BISCAY (E.Aîné)",http://services.data.shom.fr/INSPIRE/telechargement/prepackageGroup/ARCHIVES_CARTES_MARINES_PACK_DL/prepackage/ARCHIVES_CM_5029_Pub_1898_Ed_1944_Corr_1972/file/ARCHIVES_CM_5029_Pub_1898_Ed_1944_Corr_1972.7z,-72.0669443999999,-71.8211110999999,41.2388888999999,41.3666667
